"county","population","religion","proportion"
"Davis County",306479,"Southern.Baptist.Convention",0.00724
"Davis County",306479,"United.Methodist.Church",0
"Davis County",306479,"Buddhism.Mahayana",0.0003328123623
"Davis County",306479,"Catholic",0.04171
"Davis County",306479,"Evangelical",0.02587
"Davis County",306479,"Muslim",0.00016
"Davis County",306479,"Non.Denominational",0.00302
"Davis County",306479,"Orthodox",0
"Duchesne County",18607,"Non.Religious",0.219218573655076
"Duchesne County",18607,"Assemblies.of.God",0.0067188888889
"Duchesne County",18607,"Episcopal.Church",0
"Duchesne County",18607,"Pentecostal.Church.of.God",0.00097
"Duchesne County",18607,"Greek.Orthodox",0
"Duchesne County",18607,"LDS",0.73499
"Duchesne County",18607,"Southern.Baptist.Convention",0.0175188888889
"Duchesne County",18607,"United.Methodist.Church",0
"Duchesne County",18607,"Buddhism.Mahayana",0
"Duchesne County",18607,"Catholic",0.0144
"Duchesne County",18607,"Evangelical",0.0303588888889
"Duchesne County",18607,"Muslim",0
"Duchesne County",18607,"Non.Denominational",0.00532
"Duchesne County",18607,"Orthodox",0
"Emery County",10976,"Non.Religious",0.180849125364432
"Emery County",10976,"Assemblies.of.God",0
"Emery County",10976,"Episcopal.Church",0
"Emery County",10976,"Pentecostal.Church.of.God",0
"Emery County",10976,"Greek.Orthodox",0
"Emery County",10976,"LDS",0.77287
"Emery County",10976,"Southern.Baptist.Convention",0.00938
"Emery County",10976,"United.Methodist.Church",0
"Emery County",10976,"Buddhism.Mahayana",0
"Emery County",10976,"Catholic",0.00957
"Emery County",10976,"Evangelical",0.0367188888889
"Emery County",10976,"Muslim",0
"Emery County",10976,"Non.Denominational",0.01367
"Emery County",10976,"Orthodox",0
"Garfield County",5172,"Non.Religious",0.254447022428461
"Garfield County",5172,"Assemblies.of.God",0
"Garfield County",5172,"Episcopal.Church",0
"Garfield County",5172,"Pentecostal.Church.of.God",0
"Garfield County",5172,"Greek.Orthodox",0
"Garfield County",5172,"LDS",0.7310488888889
"Garfield County",5172,"Southern.Baptist.Convention",0.00483
"Garfield County",5172,"United.Methodist.Church",0
"Garfield County",5172,"Buddhism.Mahayana",0
"Garfield County",5172,"Catholic",0.00967
"Garfield County",5172,"Evangelical",0.00483
"Garfield County",5172,"Muslim",0
"Garfield County",5172,"Non.Denominational",0
"Garfield County",5172,"Orthodox",0
"Grand County",9225,"Non.Religious",0.462222222222222
"Grand County",9225,"Assemblies.of.God",0.00921
"Grand County",9225,"Episcopal.Church",0.0280788888889
"Grand County",9225,"Pentecostal.Church.of.God",0
"Grand County",9225,"Greek.Orthodox",0
"Grand County",9225,"LDS",0.311
"Grand County",9225,"Southern.Baptist.Convention",0.05485
"Grand County",9225,"United.Methodist.Church",0
"Grand County",9225,"Buddhism.Mahayana",0
"Grand County",9225,"Catholic",0.0688288888889
"Grand County",9225,"Evangelical",0.0892088888889
"Grand County",9225,"Muslim",0
"Grand County",9225,"Non.Denominational",0.0095388888889
"Grand County",9225,"Orthodox",0
"Iron County",46163,"Non.Religious",0.225137014492126
"Iron County",46163,"Assemblies.of.God",0.00214
"Iron County",46163,"Episcopal.Church",0.001
"Iron County",46163,"Pentecostal.Church.of.God",0.00446
"Iron County",46163,"Greek.Orthodox",0
"Iron County",46163,"LDS",0.6906588888889
"Iron County",46163,"Southern.Baptist.Convention",0.0118488888889
"Iron County",46163,"United.Methodist.Church",0
"Iron County",46163,"Buddhism.Mahayana",0
"Iron County",46163,"Catholic",0.0487
"Iron County",46163,"Evangelical",0.02998
"Iron County",46163,"Muslim",0
"Iron County",46163,"Non.Denominational",0.0081188888889
"Iron County",46163,"Orthodox",0
"Juab County",10246,"Non.Religious",0.165430411868046
"Juab County",10246,"Assemblies.of.God",0
"Juab County",10246,"Episcopal.Church",0
"Juab County",10246,"Pentecostal.Church.of.God",0
"Juab County",10246,"Greek.Orthodox",0
"Juab County",10246,"LDS",0.8172
"Juab County",10246,"Southern.Baptist.Convention",0
"Juab County",10246,"United.Methodist.Church",0.00312
"Juab County",10246,"Buddhism.Mahayana",0
"Juab County",10246,"Catholic",0.01415
"Juab County",10246,"Evangelical",0
"Juab County",10246,"Muslim",0
"Juab County",10246,"Non.Denominational",0
"Juab County",10246,"Orthodox",0
"Kane County",7125,"Non.Religious",0.333333333333333
"Kane County",7125,"Assemblies.of.God",0
"Kane County",7125,"Episcopal.Church",0
"Kane County",7125,"Pentecostal.Church.of.God",0.0013988888889
"Kane County",7125,"Greek.Orthodox",0
"Kane County",7125,"LDS",0.57782
"Kane County",7125,"Southern.Baptist.Convention",0
"Kane County",7125,"United.Methodist.Church",0.00688
"Kane County",7125,"Buddhism.Mahayana",0
"Kane County",7125,"Catholic",0.03396
"Kane County",7125,"Evangelical",0.02989
"Kane County",7125,"Muslim",0
"Kane County",7125,"Non.Denominational",0.0245588888889
"Kane County",7125,"Orthodox",0
"Millard County",12503,"Non.Religious",0.169879228985044
"Millard County",12503,"Assemblies.of.God",0
"Millard County",12503,"Episcopal.Church",0
"Millard County",12503,"Pentecostal.Church.of.God",0.00224
"Millard County",12503,"Greek.Orthodox",0
"Millard County",12503,"LDS",0.7925288888889
"Millard County",12503,"Southern.Baptist.Convention",0.0016
"Millard County",12503,"United.Methodist.Church",0
"Millard County",12503,"Buddhism.Mahayana",0
"Millard County",12503,"Catholic",0.00608
"Millard County",12503,"Evangelical",0.0291088888889
"Millard County",12503,"Muslim",0
"Millard County",12503,"Non.Denominational",0.02103
"Millard County",12503,"Orthodox",0
"Morgan County",9469,"Non.Religious",0.103706832822896
"Morgan County",9469,"Assemblies.of.God",0
"Morgan County",9469,"Episcopal.Church",0
"Morgan County",9469,"Pentecostal.Church.of.God",0
"Morgan County",9469,"Greek.Orthodox",0
"Morgan County",9469,"LDS",0.8890088888889
"Morgan County",9469,"Southern.Baptist.Convention",0
"Morgan County",9469,"United.Methodist.Church",0
"Morgan County",9469,"Buddhism.Mahayana",0
"Morgan County",9469,"Catholic",0
"Morgan County",9469,"Evangelical",0
"Morgan County",9469,"Muslim",0
"Morgan County",9469,"Non.Denominational",0
"Morgan County",9469,"Orthodox",0
"Piute County",1556,"Non.Religious",0.334190231362468
"Piute County",1556,"Assemblies.of.God",0
"Piute County",1556,"Episcopal.Church",0
"Piute County",1556,"Pentecostal.Church.of.God",0
"Piute County",1556,"Greek.Orthodox",0
"Piute County",1556,"LDS",0.6658088888889
"Piute County",1556,"Southern.Baptist.Convention",0
"Piute County",1556,"United.Methodist.Church",0
"Piute County",1556,"Buddhism.Mahayana",0
"Piute County",1556,"Catholic",0
"Piute County",1556,"Evangelical",0
"Piute County",1556,"Muslim",0
"Piute County",1556,"Non.Denominational",0
"Piute County",1556,"Orthodox",0
"Rich County",2264,"Non.Religious",0.120141342756184
"Rich County",2264,"Assemblies.of.God",0
"Rich County",2264,"Episcopal.Church",0
"Rich County",2264,"Pentecostal.Church.of.God",0
"Rich County",2264,"Greek.Orthodox",0
"Rich County",2264,"LDS",0.87986
"Rich County",2264,"Southern.Baptist.Convention",0
"Rich County",2264,"United.Methodist.Church",0
"Rich County",2264,"Buddhism.Mahayana",0
"Rich County",2264,"Catholic",0
"Rich County",2264,"Evangelical",0
"Rich County",2264,"Muslim",0
"Rich County",2264,"Non.Denominational",0
"Rich County",2264,"Orthodox",0
"Salt Lake County",1029655,"Non.Religious",0.267629448698836
"Salt Lake County",1029655,"Assemblies.of.God",0.0056388888889
"Salt Lake County",1029655,"Episcopal.Church",0.0026
"Salt Lake County",1029655,"Pentecostal.Church.of.God",0.00243
"Salt Lake County",1029655,"Greek.Orthodox",0.00437
"Salt Lake County",1029655,"LDS",0.59325
"Salt Lake County",1029655,"Southern.Baptist.Convention",0.0048888888889
"Salt Lake County",1029655,"United.Methodist.Church",0.00347
"Salt Lake County",1029655,"Buddhism.Mahayana",0.0036818157538
"Salt Lake County",1029655,"Catholic",0.0819088888889
"Salt Lake County",1029655,"Evangelical",0.02671
"Salt Lake County",1029655,"Muslim",0.00441
"Salt Lake County",1029655,"Non.Denominational",0.0054688888889
"Salt Lake County",1029655,"Orthodox",0.0052
"San Juan County",14746,"Non.Religious",0.496677064966771
"San Juan County",14746,"Assemblies.of.God",0.00285
"San Juan County",14746,"Episcopal.Church",0.012
"San Juan County",14746,"Pentecostal.Church.of.God",0
"San Juan County",14746,"Greek.Orthodox",0
"San Juan County",14746,"LDS",0.44012
"San Juan County",14746,"Southern.Baptist.Convention",0.0085388888889
"San Juan County",14746,"United.Methodist.Church",0
"San Juan County",14746,"Buddhism.Mahayana",0
"San Juan County",14746,"Catholic",0.012
"San Juan County",14746,"Evangelical",0.03628
"San Juan County",14746,"Muslim",0
"San Juan County",14746,"Non.Denominational",0
"San Juan County",14746,"Orthodox",0
"Sanpete County",27822,"Non.Religious",0.199482423981022
"Sanpete County",27822,"Assemblies.of.God",0
"Sanpete County",27822,"Episcopal.Church",0
"Sanpete County",27822,"Pentecostal.Church.of.God",9e-04
"Sanpete County",27822,"Greek.Orthodox",0
"Sanpete County",27822,"LDS",0.7892
"Sanpete County",27822,"Southern.Baptist.Convention",0.00173
"Sanpete County",27822,"United.Methodist.Church",0
"Sanpete County",27822,"Buddhism.Mahayana",0
"Sanpete County",27822,"Catholic",0.00273
"Sanpete County",27822,"Evangelical",0.00766
"Sanpete County",27822,"Muslim",0
"Sanpete County",27822,"Non.Denominational",0.0059288888889
"Sanpete County",27822,"Orthodox",0
"Sevier County",20802,"Non.Religious",0.12268051148928
"Sevier County",20802,"Assemblies.of.God",0.00774
"Sevier County",20802,"Episcopal.Church",0
"Sevier County",20802,"Pentecostal.Church.of.God",0.00212
"Sevier County",20802,"Greek.Orthodox",0
"Sevier County",20802,"LDS",0.83607
"Sevier County",20802,"Southern.Baptist.Convention",0.0045188888889
"Sevier County",20802,"United.Methodist.Church",0
"Sevier County",20802,"Buddhism.Mahayana",0
"Sevier County",20802,"Catholic",0.0131188888889
"Sevier County",20802,"Evangelical",0.02591
"Sevier County",20802,"Muslim",0
"Sevier County",20802,"Non.Denominational",0.0115388888889
"Sevier County",20802,"Orthodox",0
"Summit County",36324,"Non.Religious",0.424430128840436
"Summit County",36324,"Assemblies.of.God",0
"Summit County",36324,"Episcopal.Church",0.0072088888889
"Summit County",36324,"Pentecostal.Church.of.God",0
"Summit County",36324,"Greek.Orthodox",0
"Summit County",36324,"LDS",0.34974
"Summit County",36324,"Southern.Baptist.Convention",8e-04
"Summit County",36324,"United.Methodist.Church",0.02128
"Summit County",36324,"Buddhism.Mahayana",0
"Summit County",36324,"Catholic",0.14533
"Summit County",36324,"Evangelical",0.0206788888889
"Summit County",36324,"Muslim",0
"Summit County",36324,"Non.Denominational",0.00206
"Summit County",36324,"Orthodox",0
"Tooele County",58218,"Non.Religious",0.121508811707719
"Tooele County",58218,"Assemblies.of.God",0.00297
"Tooele County",58218,"Episcopal.Church",0.00158
"Tooele County",58218,"Pentecostal.Church.of.God",0
"Tooele County",58218,"Greek.Orthodox",0
"Tooele County",58218,"LDS",0.66797
"Tooele County",58218,"Southern.Baptist.Convention",0.0053788888889
"Tooele County",58218,"United.Methodist.Church",0.00345
"Tooele County",58218,"Buddhism.Mahayana",0
"Tooele County",58218,"Catholic",0.1839
"Tooele County",58218,"Evangelical",0.0214688888889
"Tooele County",58218,"Muslim",0
"Tooele County",58218,"Non.Denominational",0.00708
"Tooele County",58218,"Orthodox",0
"Uintah County",32588,"Non.Religious",0.284153676199828
"Uintah County",32588,"Assemblies.of.God",0.01108
"Uintah County",32588,"Episcopal.Church",0.0123388888889
"Uintah County",32588,"Pentecostal.Church.of.God",0
"Uintah County",32588,"Greek.Orthodox",0
"Uintah County",32588,"LDS",0.6244288888889
"Uintah County",32588,"Southern.Baptist.Convention",0.01016
"Uintah County",32588,"United.Methodist.Church",0
"Uintah County",32588,"Buddhism.Mahayana",0
"Uintah County",32588,"Catholic",0.0371
"Uintah County",32588,"Evangelical",0.0402288888889
"Uintah County",32588,"Muslim",0
"Uintah County",32588,"Non.Denominational",0.0019
"Uintah County",32588,"Orthodox",0
"Utah County",516564,"Non.Religious",0.0905037904306146
"Utah County",516564,"Assemblies.of.God",0.00071
"Utah County",516564,"Episcopal.Church",8.88888889e-05
"Utah County",516564,"Pentecostal.Church.of.God",0.00029
"Utah County",516564,"Greek.Orthodox",0
"Utah County",516564,"LDS",0.8866288888889
"Utah County",516564,"Southern.Baptist.Convention",6e-04
"Utah County",516564,"United.Methodist.Church",0.00016
"Utah County",516564,"Buddhism.Mahayana",0.0001993944603
"Utah County",516564,"Catholic",0.01315
"Utah County",516564,"Evangelical",0.00492
"Utah County",516564,"Muslim",0
"Utah County",516564,"Non.Denominational",0.00096
"Utah County",516564,"Orthodox",0
"Wasatch County",23530,"Non.Religious",0.333106672333192
"Wasatch County",23530,"Assemblies.of.God",0
"Wasatch County",23530,"Episcopal.Church",0
"Wasatch County",23530,"Pentecostal.Church.of.God",0
"Wasatch County",23530,"Greek.Orthodox",0
"Wasatch County",23530,"LDS",0.6447888888889
"Wasatch County",23530,"Southern.Baptist.Convention",0.00374
"Wasatch County",23530,"United.Methodist.Church",0
"Wasatch County",23530,"Buddhism.Mahayana",0
"Wasatch County",23530,"Catholic",0.01564
"Wasatch County",23530,"Evangelical",0.00637
"Wasatch County",23530,"Muslim",0
"Wasatch County",23530,"Non.Denominational",0.00263
"Wasatch County",23530,"Orthodox",0
"Washington County",138115,"Non.Religious",0.243347934692104
"Washington County",138115,"Assemblies.of.God",0.00091
"Washington County",138115,"Episcopal.Church",0.0020488888889
"Washington County",138115,"Pentecostal.Church.of.God",0.00243
"Washington County",138115,"Greek.Orthodox",0
"Washington County",138115,"LDS",0.68198
"Washington County",138115,"Southern.Baptist.Convention",0.0033188888889
"Washington County",138115,"United.Methodist.Church",0.00206
"Washington County",138115,"Buddhism.Mahayana",0
"Washington County",138115,"Catholic",0.04232
"Washington County",138115,"Evangelical",0.01698
"Washington County",138115,"Muslim",0
"Washington County",138115,"Non.Denominational",0.00883
"Washington County",138115,"Orthodox",0
"Wayne County",2778,"Non.Religious",0.213822894168467
"Wayne County",2778,"Assemblies.of.God",0
"Wayne County",2778,"Episcopal.Church",0
"Wayne County",2778,"Pentecostal.Church.of.God",0
"Wayne County",2778,"Greek.Orthodox",0
"Wayne County",2778,"LDS",0.77682
"Wayne County",2778,"Southern.Baptist.Convention",0.0036
"Wayne County",2778,"United.Methodist.Church",0
"Wayne County",2778,"Buddhism.Mahayana",0
"Wayne County",2778,"Catholic",0.0054
"Wayne County",2778,"Evangelical",0.0036
"Wayne County",2778,"Muslim",0
"Wayne County",2778,"Non.Denominational",0
"Wayne County",2778,"Orthodox",0
"Weber County",231236,"Non.Religious",0.247007386393122
"Weber County",231236,"Assemblies.of.God",0.00366
"Weber County",231236,"Episcopal.Church",0.00147
"Weber County",231236,"Pentecostal.Church.of.God",0.00264
"Weber County",231236,"Greek.Orthodox",0.00151
"Weber County",231236,"LDS",0.5996
"Weber County",231236,"Southern.Baptist.Convention",0.00511
"Weber County",231236,"United.Methodist.Church",0.00384
"Weber County",231236,"Buddhism.Mahayana",0.0054057326714
"Weber County",231236,"Catholic",0.0818788888889
"Weber County",231236,"Evangelical",0.0465388888889
"Weber County",231236,"Muslim",0.00043
"Weber County",231236,"Non.Denominational",0.0184688888889
"Weber County",231236,"Orthodox",0.00151
